,Rank,Quotation,Character,Actor/Actress,Film,Year
41,42,"""Plastics.""",Mr. Maguire,Walter Brooke,The Graduate,1967
42,43,"""We'll always have Paris.""",Rick Blaine,Humphrey Bogart,Casablanca,1942
43,44,"""I see dead people.""",Cole Sear,Haley Joel Osment,The Sixth Sense,1999
44,45,"""Stella! Hey, Stella!""",Stanley Kowalski,Marlon Brando,A Streetcar Named Desire,1951
45,46,"""Oh, Jerry, don't let's ask for the moon. We have the stars.""",Charlotte Vale,Bette Davis,"Now, Voyager",1942
46,47,"""Shane. Shane. Come back!""",Joey Starrett,Brandon De Wilde,Shane,1953
47,48,"""Well, nobody's perfect.""",Osgood Fielding III,Joe E. Brown,Some Like It Hot,1959
48,49,"""It's alive! It's alive!""",Henry Frankenstein,Colin Clive,Frankenstein,1931
49,50,"""Houston, we have a problem.""",Jim Lovell,Tom Hanks,Apollo 13,1995
50,51,"""You've got to ask yourself one question: 'Do I feel lucky?' Well, do ya, punk?""",Harry Callahan,Clint Eastwood,Dirty Harry,1971
51,52,"""You had me at 'hello.'""",Dorothy Boyd,Renée Zellweger,Jerry Maguire,1996
52,53,"""One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know.""",Capt. Geoffrey T. Spaulding,Groucho Marx,Animal Crackers,1930
53,54,"""There's no crying in baseball!""",Jimmy Dugan,Tom Hanks,A League of Their Own,1992
54,55,"""La-dee-da, la-dee-da.""",Annie Hall,Diane Keaton,Annie Hall,1977
55,56,"""A boy's best friend is his mother.""",Norman Bates,Anthony Perkins,Psycho,1960
56,57,"""Greed, for lack of a better word, is good.""",Gordon Gekko,Michael Douglas,Wall Street,1987
57,58,"""Keep your friends close, but your enemies closer.""",Michael Corleone,Al Pacino,The Godfather Part II,1974
58,59,"""As God is my witness, I'll never be hungry again.""",Scarlett O'Hara,Vivien Leigh,Gone with the Wind,1939
59,60,"""Well, here's another nice mess you've gotten me into!""",Oliver,Oliver Hardy,Sons of the Desert,1933
60,61,"""Say 'hello' to my little friend!""",Tony Montana,Al Pacino,Scarface,1983
61,62,"""What a dump.""",Rosa Moline,Bette Davis,Beyond the Forest,1949
62,63,"""Mrs. Robinson, you're trying to seduce me. Aren't you?""",Benjamin Braddock,Dustin Hoffman,The Graduate,1967
63,64,"""Gentlemen, you can't fight in here! This is the War Room!""",President Merkin Muffley,Peter Sellers,Dr. Strangelove,1964
64,65,"""Elementary, my dear Watson.""",Sherlock Holmes,Basil Rathbone,The Adventures of Sherlock Holmes,1939
65,66,"""Get your stinking paws off me, you damned dirty ape.""",George Taylor,Charlton Heston,Planet of the Apes,1968
66,67,"""Of all the gin joints in all the towns in all the world, she walks into mine.""",Rick Blaine,Humphrey Bogart,Casablanca,1942
67,68,"""Here's Johnny!""",Jack Torrance,Jack Nicholson,The Shining,1980
68,69,"""They're here!""",Carol Anne Freeling,Heather O'Rourke,Poltergeist,1982
69,70,"""Is it safe?""",Dr. Christian Szell,Laurence Olivier,Marathon Man,1976
70,71,"""Wait a minute, wait a minute. You ain't heard nothin' yet!""",Jakie Rabinowitz/Jack Robin,Al Jolson,The Jazz Singer,1927
71,72,"""No wire hangers, ever!""",Joan Crawford,Faye Dunaway,Mommie Dearest,1981
72,73,"""Mother of mercy, is this the end of Rico?""",Rico Bandello,Edward G. Robinson,Little Caesar,1931
73,74,"""Forget it, Jake, it's Chinatown.""",Lawrence Walsh,Joe Mantell,Chinatown,1974
74,75,"""I have always depended on the kindness of strangers.""",Blanche DuBois,Vivien Leigh,A Streetcar Named Desire,1951
75,76,"""Hasta la vista, baby.""",The Terminator,Arnold Schwarzenegger,Terminator 2: Judgment Day,1991
76,77,"""Soylent Green is people!""",Det. Robert Thorn,Charlton Heston,Soylent Green,1973
77,78,"""Open the pod bay doors, HAL.""",Dave Bowman,Keir Dullea,2001: A Space Odyssey,1968
78,79,"Striker: ""Surely you can't be serious.""Rumack: ""I am serious … and don't call me Shirley.""",Ted Striker and Dr. Rumack,Robert Hays and Leslie Nielsen,Airplane!,1980
79,80,"""Yo, Adrian!""",Rocky Balboa,Sylvester Stallone,Rocky,1976
80,81,"""Hello, gorgeous.""",Fanny Brice,Barbra Streisand,Funny Girl,1968
81,82,"""Toga! Toga!""","John ""Bluto"" Blutarsky",John Belushi,National Lampoon's Animal House,1978
82,83,"""Listen to them. Children of the night. What music they make.""",Count Dracula,Bela Lugosi,Dracula,1931
83,84,"""Oh, no, it wasn't the airplanes. It was Beauty killed the Beast.""",Carl Denham,Robert Armstrong,King Kong,1933
84,85,"""My precious.""",Gollum,Andy Serkis,The Lord of the Rings: The Two Towers,2002
85,86,"""Attica! Attica!""",Sonny Wortzik,Al Pacino,Dog Day Afternoon,1975
86,87,"""Sawyer, you're going out a youngster, but you've got to come back a star!""",Julian Marsh,Warner Baxter,42nd Street,1933
87,88,"""Listen to me, mister. You're my knight in shining armor. Don't you forget it. You're going to get back on that horse, and I'm going to be right behind you, holding on tight, and away we're gonna go, go, go!""",Ethel Thayer,Katharine Hepburn,On Golden Pond,1981
88,89,"""Tell 'em to go out there with all they got and win just one for the Gipper.""",Knute Rockne[29],Pat O'Brien,"Knute Rockne, All American",1940
89,90,"""A martini. Shaken, not stirred.""",James Bond,Sean Connery[9],Goldfinger[31],1964
90,91,"""Who's on first.""",Dexter,Bud Abbott,The Naughty Nineties,1945
91,92,"""Cinderella story. Outta nowhere. A former greenskeeper, now, about to become the Masters champion. It looks like a mirac...It's in the hole! It's in the hole! It's in the hole!""",Carl Spackler,Bill Murray,Caddyshack,1980
92,93,"""Life is a banquet, and most poor suckers are starving to death!""",Mame Dennis,Rosalind Russell,Auntie Mame,1958
93,94,"""I feel the need—the need for speed!""",Pete Mitchell and Nick Bradshaw,Tom Cruise and Anthony Edwards,Top Gun,1986
94,95,"""Carpe diem. Seize the day, boys. Make your lives extraordinary.""",John Keating,Robin Williams,Dead Poets Society,1989
95,96,"""Snap out of it!""",Loretta Castorini,Cher,Moonstruck,1987
96,97,"""My mother thanks you. My father thanks you. My sister thanks you. And I thank you.""",George M. Cohan,James Cagney,Yankee Doodle Dandy,1942
97,98,"""Nobody puts Baby in a corner.""",Johnny Castle,Patrick Swayze,Dirty Dancing,1987
98,99,"""I'll get you, my pretty, and your little dog too!""",Wicked Witch of the West,Margaret Hamilton,The Wizard of Oz,1939
99,100,"""I'm the king of the world!""",Jack Dawson,Leonardo DiCaprio,Titanic,1997
